Region,Customer Name,total_sales,row_num,rank_num,dense_rank_num
Africa,Barry Weirich,8957.52,1,1,1
Africa,Liz Thompson,7855.944,2,2,2
Africa,Phillina Ober,7797.12,3,3,3
Africa,Jennifer Ferguson,6470.34,4,4,4
Africa,Jane Waco,6173.13,5,5,5
Africa,Dave Poirier,5858.4,6,6,6
Africa,Benjamin Patterson,5494.236,7,7,7
Africa,Emily Grady,5151.849,8,8,8
Africa,Natalie Webber,5100.0,9,9,9
Africa,Aaron Hawkins,5072.166,10,10,10
Africa,Mike Gockenbach,4881.174,11,11,11
Africa,Resi Pölking,4862.16,12,12,12
Africa,Michelle Tran,4827.126,13,13,13
Africa,Rick Wilson,4820.43,14,14,14
Africa,Nora Pelletier,4654.74,15,15,15
Africa,Ritsa Hightower,4476.969,16,16,16
Africa,Georgia Rosenberg,4472.937,17,17,17
Africa,Rob Dowd,4464.39,18,18,18
Africa,Justin Ellison,4342.956,19,19,19
Africa,Roger Barcio,4268.298,20,20,20
Africa,Maria Bertelson,4214.277,21,21,21
Africa,Bryan Spruell,4162.914,22,22,22
Africa,Ivan Gibson,4147.737,23,23,23
Africa,Christine Phan,4136.34,24,24,24
Africa,Alejandro Ballentine,4083.42,25,25,25
Africa,Astrea Jones,4071.528,26,26,26
Africa,Henry MacAllister,4068.99,27,27,27
Africa,Sally Matthias,4067.97,28,28,28
Africa,Sean Miller,3993.084,29,29,29
Africa,Linda Cazamias,3984.93,30,30,30
Africa,Craig Carroll,3954.78,31,31,31
Africa,Ashley Jarboe,3815.604,32,32,32
Africa,Dennis Bolton,3691.53,33,33,33
Africa,Gene McClure,3669.54,34,34,34
Africa,Gary Hwang,3647.076,35,35,35
Africa,Julia Dunbar,3468.858,36,36,36
Africa,Mike Vittorini,3444.12,37,37,37
Africa,Adam Hart,3425.88,38,38,38
Africa,Guy Phonely,3414.51,39,39,39
Africa,Duane Huffman,3410.676,40,40,40
Africa,Jill Fjeld,3367.32,41,41,41
Africa,Harold Dahlen,3311.328,42,42,42
Africa,Pete Armstrong,3222.891,43,43,43
Africa,Paul Van Hugh,3155.94,44,44,44
Africa,Ionia McGrath,3117.99,45,45,45
Africa,Alan Hwang,3090.06,46,46,46
Africa,Lauren Leatherbury,3079.08,47,47,47
Africa,Cynthia Voltz,3069.294,48,48,48
Africa,Cari MacIntyre,3061.377,49,49,49
Africa,Ross DeVincentis,3021.66,50,50,50
Africa,Ben Wallace,2996.736,51,51,51
Africa,Muhammed Yedwab,2991.453,52,52,52
Africa,Robert Dilbeck,2959.542,53,53,53
Africa,Barry Pond,2951.754,54,54,54
Africa,Deirdre Greer,2948.928,55,55,55
Africa,Maureen Gastineau,2878.698,56,56,56
Africa,Bruce Degenhardt,2849.088,57,57,57
Africa,Rick Hansen,2832.96,58,58,58
Africa,Stewart Visinsky,2832.66,59,59,59
Africa,Clay Rozendal,2793.804,60,60,60
Africa,Joe Kamberova,2764.89,61,61,61
Africa,Mark Haberlin,2763.6,62,62,62
Africa,Ralph Arnett,2761.584,63,63,63
Africa,Ed Braxton,2720.37,64,64,64
Africa,Clay Ludtke,2712.18,65,65,65
Africa,Roger Demir,2698.2,66,66,66
Africa,Doug Bickford,2686.812,67,67,67
Africa,Anna Chung,2666.58,68,68,68
Africa,Gary Zandusky,2618.01,69,69,69
Africa,Tim Taslimi,2616.99,70,70,70
Africa,Patrick O'Donnell,2607.228,71,71,71
Africa,Rose O'Brian,2598.0,72,72,72
Africa,Tracy Blumstein,2541.369,73,73,73
Africa,Henia Zydlo,2525.25,74,74,74
Africa,Steve Carroll,2510.76,75,75,75
Africa,Cindy Chapman,2488.509,76,76,76
Africa,Guy Thornton,2474.64,77,77,77
Africa,Don Jones,2406.72,78,78,78
Africa,Neil Knudson,2395.35,79,79,79
Africa,Jay Kimmel,2350.422,80,80,80
Africa,Sean Christensen,2349.57,81,81,81
Africa,Roy Phan,2341.62,82,82,82
Africa,Jim Mitchum,2336.43,83,83,83
Africa,Nat Carroll,2280.54,84,84,84
Africa,Toby Ritter,2272.956,85,85,85
Africa,Jonathan Howell,2272.314,86,86,86
Africa,Denny Ordway,2260.932,87,87,87
Africa,Jack O'Briant,2254.47,88,88,88
Africa,Tom Ashbrook,2225.382,89,89,89
Africa,Barry Französisch,2216.16,90,90,90
Africa,Russell D'Ascenzo,2183.958,91,91,91
Africa,Arthur Prichep,2151.36,92,92,92
Africa,Charles McCrossin,2143.95,93,93,93
Africa,Steven Cartwright,2136.684,94,94,94
Africa,Aaron Bergman,2124.78,95,95,95
Africa,Tony Sayre,2116.098,96,96,96
Africa,Bryan Mills,2094.522,97,97,97
Africa,Cyma Kinney,2080.77,98,98,98
Africa,Randy Bradley,2079.486,99,99,99
Africa,Erica Bern,2074.17,100,100,100
Africa,Daniel Raglin,2065.446,101,101,101
Africa,Julia Barnett,2057.73,102,102,102
Africa,Alejandro Savely,2057.172,103,103,103
Africa,Natalie Fritzler,2029.689,104,104,104
Africa,Liz Willingham,2011.815,105,105,105
Africa,Alejandro Grove,1996.8,106,106,106
Africa,Filia McAdams,1993.95,107,107,107
Africa,Ed Ludwig,1973.802,108,108,108
Africa,Neil Ducich,1972.95,109,109,109
Africa,Jim Karlsson,1968.393,110,110,110
Africa,Mathew Reese,1961.97,111,111,111
Africa,Janet Martin,1956.801,112,112,112
Africa,Tim Brockman,1956.69,113,113,113
Africa,Nora Paige,1953.12,114,114,114
Africa,Jennifer Jackson,1951.98,115,115,115
Africa,Evan Minnotte,1922.85,116,116,116
Africa,Liz Carlisle,1910.082,117,117,117
Africa,Ann Steele,1906.611,118,118,118
Africa,Lindsay Castell,1904.85,119,119,119
Africa,Cathy Prescott,1888.2,120,120,120
Africa,Meg O'Connel,1883.844,121,121,121
Africa,Jesus Ocampo,1879.38,122,122,122
Africa,Lisa Ryan,1864.26,123,123,123
Africa,Evan Henry,1863.36,124,124,124
Africa,Eva Jacobs,1840.86,125,125,125
Africa,Hallie Redmond,1833.63,126,126,126
Africa,Damala Kotsonis,1830.771,127,127,127
Africa,Dorothy Dickinson,1823.91,128,128,128
Africa,Tracy Collins,1810.242,129,129,129
Africa,Cindy Stewart,1803.24,130,130,130
Africa,Erin Mull,1774.17,131,131,131
Africa,Harry Greene,1765.17,132,132,132
Africa,Dennis Kane,1764.03,133,133,133
Africa,Stephanie Ulpright,1763.994,134,134,134
Africa,Justin Hirsh,1762.029,135,135,135
Africa,Tom Boeckenhauer,1761.33,136,136,136
Africa,Thea Hudgings,1760.82,137,137,137
Africa,Eudokia Martin,1760.1,138,138,138
Africa,Christopher Schild,1740.99,139,139,139
Africa,Kean Thornton,1719.264,140,140,140
Africa,Bobby Elias,1718.949,141,141,141
Africa,Lena Creighton,1709.718,142,142,142
Africa,Chuck Sachs,1706.703,143,143,143
Africa,Ann Chong,1704.942,144,144,144
Africa,Anthony Rawles,1703.526,145,145,145
Africa,Lela Donovan,1703.166,146,146,146
Africa,Arthur Gainer,1699.47,147,147,147
Africa,Marc Harrigan,1685.34,148,148,148
Africa,Justin Deggeller,1678.68,149,149,149
Africa,Bruce Stewart,1676.424,150,150,150
Africa,Jennifer Braxton,1666.29,151,151,151
Africa,Shaun Chance,1648.017,152,152,152
Africa,Bryan Davis,1629.33,153,153,153
Africa,Liz Pelletier,1625.37,154,154,154
Africa,Liz MacKendrick,1615.98,155,155,155
Africa,Katherine Hughes,1614.735,156,156,156
Africa,Anthony Jacobs,1610.574,157,157,157
Africa,Ryan Crowe,1609.275,158,158,158
Africa,Carlos Daly,1602.609,159,159,159
